,screen_name,favorite_rate,retweet_rate,favourites_count,followers_count,friends_count,listed_count,statuses_count,verified,number_of_intersections,score
0,vicosotto,0.457225220157706,0.11428536859847607,-0.28558040162878784,-0.04968100015790691,-0.1617602007073786,-0.2051941522536996,-0.5555855978371299,1,-0.6147538419377873,-0.6206826893420685
1,nordstrom,-0.3004455613317312,-0.2596817308918631,-0.2923798342123464,-0.11151819757905783,2.184071228595134,0.2297142053258757,5.91897810423091,1,2.0752927425935037,2.067278183352356
2,noticia_tu,-0.3146501860910876,-0.2478823495204271,-0.3667772131535253,-0.20008387739659267,-0.1780630748523487,-0.2098608739861215,-0.6002695342378116,0,-0.6147538419377873,-0.6206826893420685
3,mazet,-0.2417575466499545,-0.23949076630756566,0.21340037967137304,-0.21537726195266027,-0.01855575421796116,-0.20835547987888864,-0.3419206941642232,1,-0.6147538419377873,-0.6206826893420685
4,fashionunitedes,-0.3276399717536706,-0.2852285789760127,-0.3997072005537192,-0.2117013721061645,0.7876757151646272,-0.17907556449320935,-0.13730540412322728,0,0.517897351549072,0.7869181226902188
5,nicholeciotti,3.4914319837548216,1.1086138503361935,-0.2533517009973017,-0.21539490870858669,-0.1646729808879466,-0.2143770563078201,-0.34991256074824834,1,-0.6147538419377873,-0.6206826893420685
6,rania_rony91,-0.2832072399931425,-0.2629277822398724,-0.41117171468563857,-0.21578243146873072,-0.16397739159109453,-0.219043778040242,-0.6178986517025729,0,-0.4731724427519298,-0.509347031893187
7,stylecaster,-0.3287249933664962,-0.2889638726124885,-0.05869888658726645,-0.18618105720752653,-0.10976490076768727,-0.011600470063552913,1.7100850732440367,1,2.2168741417793605,2.0990883711948936
8,dessiinatalia,-0.2992762590985142,-0.16480644723469348,-0.4157758147758509,-0.21572299719477056,-0.16258621299739046,-0.21896850833488035,-0.08526424936725198,0,-0.6147538419377873,-0.6206826893420685
9,harleyxngel,0.09198482199367652,-0.17104896518116894,-0.09342782700284136,-0.21412914219949686,-0.09241864267743907,-0.2127963924952256,-0.41678567966457614,0,-0.6147538419377873,-0.6206826893420685
10,derekblasberg,-0.3075076778438423,-0.2745198117578157,-0.19551078794344254,-0.17804237337426432,-0.16619458247481048,-0.058267687387771785,-0.241528746574896,1,2.641618339336933,2.711434487163741
11,dylanasuarez,-0.3262427365226577,-0.2891448674539474,-0.4153489445688113,-0.2146092751347427,-0.14471826293450318,-0.20060270022663934,0.16497519667254618,0,1.5089671458500735,1.6219355535568298
12,nicolettemason,-0.2322448943700508,-0.2821020590035938,1.4241872312099852,-0.21124072118946136,-0.05398733402636287,-0.17576369745729706,0.4094557976738557,1,2.641618339336933,2.6000988297148595
13,vicqueen,0.5199432932213337,0.9350782899155642,0.11409207507652895,-0.2109864667300736,-0.16228189268001764,-0.19676394525319554,0.1669026468486934,0,-0.6147538419377873,-0.6206826893420685
14,oliviapalermo,-0.3225678167399488,-0.2857855784512505,-0.4135499915534304,-0.15674485658179355,-0.17149845086330742,-0.05661175386981564,-0.5022046301538328,1,3.34952533526622,3.25220768048688
15,lingerie_addict,-0.15500998383832307,-0.23793091656142745,0.03731641926755826,-0.20847963917019088,-0.0742898466282323,-0.15965598050990534,1.9511573782021592,1,0.8010601499207868,1.0970674541549599
16,santi_millan,0.2599687802532748,0.8418972160834151,-0.4160807220665934,-0.15739708068083386,-0.15954300982366268,-0.02800926583239116,-0.3828202466824694,1,-0.6147538419377873,-0.6206826893420685
17,hm,-0.32800658993973225,-0.2878568041494895,-0.40217694960873374,0.9623951810376092,-0.16389044292898802,0.5838581690524076,-0.30245497653311104,1,1.7921299442217884,1.5980779126749267
18,lady_trends,-0.2542958522454605,-0.2393801781090213,1.3191771602782556,-0.21473167303384832,-0.07033368250238622,-0.2066995463609325,0.2439066319347707,0,-0.4731724427519298,-0.5172995788538214
19,renancavolik,-0.14087292890163333,-0.2404050363421465,0.8519982094025413,-0.21360877466073874,-0.1587604718647041,-0.21520502306679815,0.1423394098477927,1,-0.6147538419377873,-0.6206826893420685
20,sbrogue,-0.3278491921835256,-0.2871874505697831,-0.32396822953327314,-0.1938924071992747,-0.1495873880124676,-0.14813971558957395,-0.4380816535620077,1,1.5089671458500735,1.5503626309111205
21,trendingfr,-0.32576002690286104,-0.26825081499136105,-0.4054394576196789,-0.2155526001195451,-0.13358883418487025,-0.2088070981110585,0.025329080861683805,0,-0.6147538419377873,-0.6206826893420685
22,karllagerfeld,-0.30089141857343243,-0.24930187728130065,-0.3636671587879514,-0.005845611392409634,-0.1754546149891535,0.027615046429863274,-0.5724390341334418,1,1.650548545035931,1.7173661170844423
23,pamela_mtanga,-0.21247041947049727,-0.20364323616117985,1.1947140041971522,-0.20539795088924934,-0.14306623835447954,-0.21678568687939268,0.12073786458097187,0,-0.6147538419377873,-0.6206826893420685
24,yuyacst,-0.20315431632727288,-0.06530178681107743,0.3105133517728709,1.35515408660015,-0.15084814361301194,0.10280948208614496,-0.3002689659674805,1,-0.6147538419377873,-0.6206826893420685
25,rihanna,-0.1707775457172352,-0.16250481293919333,-0.3850106691399289,13.379504777412796,-0.1325019759085389,7.4692297367140945,-0.3738411495204176,1,-0.4731724427519298,-0.5013944849325526
26,depop,-0.3270732833096072,-0.2850771409316879,0.4386963768010333,-0.19339787451119286,-0.16284705898370996,-0.20075323963736266,-0.21818779505155206,1,-0.6147538419377873,-0.6206826893420685
27,chiaraferragni,-0.13550895100834426,-0.041141928077592205,-0.15928780180322924,-0.15489745299736912,-0.1747155513612482,-0.024847938207202144,0.43886116560507743,1,4.623757927938937,4.397374442818232
28,veronicaferraro,-0.30049803305031514,-0.28032746091332944,-0.3647343343055503,-0.2115520099640033,-0.1593256381683964,-0.18562402885967236,-0.14073720565636744,0,1.7921299442217884,1.765081398848249
29,kstar_fashion,0.04755677420671469,0.7203093246508909,-0.4159587591502964,-0.21566582170556894,-0.1780630748523487,-0.2183663506919872,-0.5863542841856266,0,-0.6147538419377873,-0.6206826893420685
30,shoppalaisroyal,-0.2166131449021262,-0.2251964038563345,-0.4028782363774416,-0.21564153976941425,-0.17167234818752042,-0.21806527187054064,-0.5586883225109279,0,-0.6147538419377873,-0.6206826893420685
31,_reneebu,-0.2676060690553356,-0.2036884279106807,-0.14840261152372067,-0.2155582470814416,-0.14719629980453866,-0.21535556247752147,1.6917037801007793,0,-0.6147538419377873,-0.6206826893420685
32,helenabordon,-0.32861762112021153,-0.2881367426272329,-0.39467623025646736,-0.19453192563404795,-0.15693454996046746,-0.18472079239533265,-0.3749224020582563,1,1.2258043474783589,1.0413996254305191
33,boohoo,-0.2820709818872726,-0.20106595731709492,-0.10705718289903274,-0.1446973457238069,-0.15971690714787568,-0.1520537402683794,0.3995129754237303,1,0.6594787507349293,0.7392028409264124
