,favorite_rate,retweet_rate,favourites_count,followers_count,friends_count,listed_count,statuses_count,verified,number_of_intersections,score,screen_name
10,-0.300396627,-0.280320247,-0.403335597,4.387371311,-0.132719348,0.921819146,-0.294392593,1,-0.473172443,-0.501394485,kyliejenner
11,-0.319652886,-0.283236423,-0.413580482,-0.211271215,-0.163673071,-0.216334069,-0.453054651,0,-0.614753842,-0.620682689,cozeteg
12,-0.325802964,-0.278832093,-0.21776902,-0.214249281,-0.170020324,-0.209108177,-0.48036803,0,-0.331591044,-0.286675717,mash__elle
